,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,cluster
10,BG,449.74883328062117,566.3728791439172,505.0294524170306,42.22284517470744,253.37747885964134,487.5820706685384,378.15089083673223,80.93438107727636,334.9030547631904,-6.877174398272186,1033.0757575757575,-0.48484848484848486,0.3939393939393939,524.5380150188099,718.526105707342,642.3488283278382,66.20858812486449,258.84062946203983,446.7602678934733,350.5114584463993,67.05941286051356,448.8331825665077,10.52510168769262,2567.287878787879,0.42424242424242425,-0.21212121212121213,491.3399696928082,706.2636663263494,608.6338608826441,68.10783494698805,221.55425227772105,359.7352365435976,296.7571926698675,45.10634902191893,457.30416704909413,0.029705985103754474,4172.969696969697,0.2727272727272727,-0.30303030303030304,517.73398474491,665.1062272967714,595.7667785040132,48.60234258309664,259.2358887412331,352.9291008457993,307.4382653116038,30.501201158520804,458.3264505171804,-0.6630083592429801,5554.333333333333,0.0,-0.06060606060606061,502.3746167500814,679.029133605957,595.133674888331,57.62019076009786,228.53986015319825,337.8936761220296,284.74015130998947,35.13888338125831,479.46215368312727,-0.4168161479977192,6722.266666666666,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,BR,448.9725296257078,671.2325165425776,559.7956930355717,82.37489940532747,218.9887106646555,432.8650518806714,326.00492200869894,74.51662857641311,332.74594132235666,1.21911176098993,1624.860465116279,-0.3953488372093023,-0.12661498708010335,485.03364347117815,696.1530592768075,603.6792810408651,70.05760521723393,203.78074435054177,357.60818369074383,279.77261108377104,52.143539769356686,446.08698394391575,0.7409428077092107,3303.937984496124,0.2454780361757106,-0.5142118863049095,507.3010706404845,671.9072343905767,597.5440034834611,54.87972091828478,239.33869283397993,357.2731955250104,299.4742526807151,38.32602102773649,447.15868306261126,0.5924759803740678,4941.078125,-0.057291666666666664,-0.4322916666666667,547.433524950051,674.7485345440147,616.9389535948908,42.74746675544701,263.99220777440956,363.53492096324027,311.13300900590923,32.66748049348115,450.23654814132215,-3.595611529601166,6273.305555555556,-0.043209876543209874,-0.30246913580246915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
12,FI,327.9999794460221,532.1960783788232,431.06859730522126,74.77558231443297,193.50207787532645,406.474172186919,301.921238739002,74.82078968129035,312.9155461056746,-0.4930568679102579,1360.3682719546741,-0.42209631728045327,-0.042492917847025496,358.58942813002017,564.6845287722839,471.2740452718707,67.7511805823957,164.07902124853376,329.7153985128862,247.59227421970286,55.28227249521109,375.6383619274774,0.0997627280915627,2869.458923512748,0.18413597733711048,-0.32011331444759206,386.4988597405193,544.3425428698488,470.42467571183346,54.357944561397396,223.98483998241912,348.1945642141715,288.91435975407757,40.88955854775262,351.19977860630274,-3.5239551282355386,4321.0169971671385,-0.1954674220963173,-0.21246458923512748,432.5366002429615,534.5457831296054,485.2499555525217,34.707889922789946,264.6163665474235,350.34629722694297,307.40001900827724,28.470797863881558,341.31177899057474,-1.1341591663065151,5442.457792207792,-0.19480519480519481,-0.09740259740259741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,DE,430.0452249795923,663.4665940097703,545.9845276004454,86.01751078145861,219.78053062352407,469.60177883104916,346.1967920488126,86.7670492566492,323.2122235958094,-7.865306546021146,1560.6239870340357,-0.39708265802269044,-0.04700162074554295,459.7199763664357,683.6615351548651,585.8214831346108,73.54246303804392,186.28216245765626,352.1043663704994,267.09389748595754,55.16537556609255,446.19211352527407,0.4782620681994581,3005.3970826580226,0.3679092382495948,-0.5526742301458671,504.957246993018,655.7147762611264,585.6629478037752,50.6524685712893,262.0406911193347,381.41383124179526,321.8322369452619,38.927172479030226,434.8161290315391,-0.6710800301794914,4393.973770491803,-0.09508196721311475,-0.23278688524590163,550.73074800252,651.030029456425,603.0228844810613,33.51197763042325,287.33891818550603,376.6119853552757,330.28378212194656,29.438541805948258,431.5692317767217,-1.143509116210976,5470.01711026616,-0.1634980988593156,-0.13688212927756654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,AT,415.94066648130064,694.2064319186741,554.7851051415951,103.9745469079676,238.15051853509596,488.77209858835477,362.27304658246754,87.12000043973013,310.62410443593393,2.5509797719357024,1424.8641975308642,-0.4567901234567901,-0.1111111111111111,467.13670320864077,678.266431455259,587.0558806961708,70.20311097992146,221.39953066978924,372.41588875099467,291.42620776785634,49.842097193620454,411.3077335772639,-0.2478695995462974,2668.6543209876545,0.06172839506172839,-0.4567901234567901,494.26654891967775,655.7100625991822,578.0830229699033,53.54510900444359,266.5767382621765,379.50567445755007,321.6879681838879,36.868949516132915,410.06292525449663,0.23776035137912238,4044.725,-0.05,-0.35,570.1296663146088,663.1035784292912,619.0577277278909,31.756697599621546,303.5102463874264,391.54020337090975,346.3239762600927,29.08439907408158,434.6772234244917,-4.023973848926909,5005.695652173913,-0.2463768115942029,-0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,SK,407.0923200836182,628.4767839965821,516.1777766180109,82.2216210063139,206.40864526367187,458.3669652709961,334.8406078644115,88.09633427543591,327.2029701940047,-2.264823218346054,1513.52,-0.632,0.36,435.01183166503904,669.2123601074219,571.8788432294429,77.34374374926202,167.77295703125,347.01423724365236,255.46630590516594,61.32903635278201,441.8547171154588,0.8396141124476547,3079.608,0.504,-0.568,467.4028211143928,622.9927312959501,550.6840308974455,51.96716485171442,197.81072042821867,312.5577771566748,255.28000038372576,37.67899432309628,444.77501059925044,-2.302424779349871,4493.723577235773,-0.12195121951219512,-0.12195121951219512,499.85030926791103,613.1801730069247,557.9960466354435,38.288357922938374,246.9827785838734,343.01376016790215,295.4595681013428,31.59995144470864,423.7174544494189,-0.6324407952995593,5602.6,-0.23636363636363636,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
16,SE,379.61049134117303,625.5090400670284,502.1700232014517,91.33562128644365,212.92982602837094,478.2742271295758,345.6390895673781,92.87271301578149,314.6182387158132,-2.8957392198621803,1543.056856187291,-0.5518394648829431,-0.023411371237458192,422.10149120726317,660.0994376498321,553.1408991708963,79.47116543708849,185.36919053501907,367.58582573830085,274.72425105534825,61.828269478845975,420.4542855900289,-2.5859099522922504,3108.2709030100336,0.12374581939799331,-0.4782608695652174,451.9697327356081,621.8179796579722,543.1338802377253,57.172588042596175,248.76746265308276,378.8627730189143,313.424303203949,42.96984982865807,386.2697302214928,0.20959622975634692,4633.64527027027,-0.24324324324324326,-0.31756756756756754,492.4024235383245,610.8671637382216,555.9571596688127,39.64634717627071,289.7328779206021,386.24641202970315,337.3233129661687,31.581866674843777,374.46195209485876,-0.3762420169401991,5733.202290076336,-0.25190839694656486,-0.22137404580152673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
17,BY,524.2290368256746,746.6529995953596,631.4897096890526,84.21069648724558,238.2455308702257,479.14523428457755,365.4793747105137,86.04050011117982,328.85047753640094,-4.681762475126276,1197.7037037037037,-0.6296296296296297,0.25925925925925924,541.1474812825521,844.1559629087095,704.4070315524098,99.45878172523383,164.4044935438368,377.77853054470484,271.68481666239285,75.89320035215484,542.6885799243324,-10.608325926271899,3134.0,0.6296296296296297,-0.5555555555555556,598.8273326732494,755.37555553295,685.6186105696322,51.81889897603382,221.60749308268228,345.9396786159939,282.3970330004049,41.671555448086444,524.328231096438,-0.5677745322408173,4683.851851851852,0.25925925925925924,-0.18518518518518517,635.8468798828125,754.1409197998047,700.4454650686821,38.963093408015496,260.7056130981445,335.19973327636717,299.22433293764783,24.989227709197706,564.516322849653,-1.7738927372489584,5763.44,0.2,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
18,CL,460.60859073292124,644.2684998945756,554.7563515356416,64.47683220701444,190.889816977761,417.89327239990234,299.3288641486749,73.44684382309732,319.3686314445008,8.777327536167775,1527.0,-0.5454545454545454,-0.18181818181818182,529.2032273032448,751.6029087413441,658.4937554690907,71.07930048119776,168.8886808915572,317.9031365134499,239.50511547251955,51.114906290239354,528.094214208054,4.065991392431693,3135.4545454545455,0.6363636363636364,-0.45454545454545453,547.8377727161754,727.9312723333186,646.5166066838573,61.80970677003224,243.15140810879794,403.07536523992366,332.2426018427971,51.55772632450451,475.75651433580856,0.2631774977018542,4596.954545454545,0.18181818181818182,0.0,609.3020610809326,730.3687496185303,682.7305819885387,40.40609325635217,268.0421257019043,392.38025093078613,334.66696657149754,41.09666974694594,563.56165329294,1.2420573107189556,5542.3125,-0.375,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
19,IT,348.4506880094767,578.5828224501042,462.4668752822758,84.64562106394477,202.19034607080783,450.94821079904244,328.1784267633207,85.3242721376162,323.5029743980053,-1.028757024101199,1444.8360128617364,-0.3890675241157556,0.028938906752411574,382.7014982769344,592.7813309304584,501.0202049413344,70.84585732025288,189.92921105535083,363.69472252211006,275.0277614233234,59.023396915590524,365.69132120677375,-0.049138626135512266,2844.093247588424,0.1189710610932476,-0.44694533762057875,414.60351100785834,568.0642676492339,496.8170450066258,51.19108673562682,235.36459759215322,349.86765865832086,293.04327290024327,37.51802953134389,375.0762899204257,0.9101560612345088,4201.313915857605,-0.13915857605177995,-0.2297734627831715,471.472119335042,566.5322233222166,520.0758509276463,32.52379251976849,287.53034993764516,369.57061985560824,326.1725860655444,27.692178180592744,354.1598004725524,0.07544685931880563,5173.752895752896,-0.18146718146718147,-0.17374517374517376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
